Demonstrator:,LeCheylas
Site Owner:,EDF
Sensor type:,AcousticEmission
Measurement units:,multiple
Sensor location:,MIV S6
Orientation:,NA
Sensor installed by:,NORCE
Sensor installed on:,01.01.2026
Sensor scaling factor:,NA
Pre-processing performed:,Calculated
Sensor precision:,16 bit
Sensor sampling rate:,=1/1000000
Sensor range:,15kHz-70kHz

Arrival time,Amplitude,Counts,Duration,Energy,Rise counts,Rise Time,RMS(mV),ASL(dB),External Parametrics1,External Parametrics2,External Parametrics3,External Parametrics4,External Parametrics5,Frequency Centroid(kHz),Peak Frequency(kHz),Partial Power1(%),Partial Power2(%),Partial Power3(%),Partial Power4(%),Partial Power5(%),AverageFreq,EchoFreq,InitFreq
23:10:42:54:856 774800,33.4,2184,12000.0,0.0,46,289.0,0.012,19.2,4294967292.0,7.0,4294967267.0,4294967275.0,0.0,810.5,405.3,39.0,13.0,11.0,10.0,4.0,182.0,182.6,159.2
23:10:42:54:868 775100,33.4,2139,12000.0,0.0,250,1370.0,0.012,19.4,4294967292.0,8.0,4294967268.0,4294967274.0,0.0,844.7,297.9,39.0,11.0,11.0,10.0,5.0,178.3,177.7,182.5
23:10:42:54:880 775100,34.0,2215,12000.0,0.0,1302,6920.0,0.012,19.3,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,800.8,273.4,35.0,13.0,13.0,13.0,4.0,184.6,179.7,188.2
23:10:42:54:892 775100,34.5,2175,12000.0,0.0,392,2158.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,795.9,268.6,40.0,10.0,10.0,11.0,5.0,181.3,181.2,181.6
23:10:42:54:904 775100,33.4,2221,12000.0,0.0,486,2616.0,0.012,19.2,4294967293.0,7.0,4294967269.0,4294967274.0,0.0,854.5,2275.4,36.0,10.0,13.0,11.0,5.0,185.1,184.9,185.8
23:10:42:54:916 775100,32.7,2206,12000.0,0.0,91,521.0,0.012,19.0,4294967292.0,7.0,4294967269.0,4294967274.0,0.0,742.2,302.7,47.0,7.0,12.0,9.0,4.0,183.8,184.2,174.7
23:10:42:54:928 775100,34.0,2175,12000.0,0.0,1815,10110.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,835.0,273.4,38.0,7.0,15.0,10.0,7.0,181.3,190.5,179.5
23:10:42:54:940 775100,34.0,2200,12000.0,0.0,314,1847.0,0.012,18.9,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,800.8,302.7,40.0,9.0,14.0,9.0,7.0,183.3,185.8,170.0
23:10:42:54:952 775100,34.0,2183,12000.0,0.0,1830,10041.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,756.8,273.4,44.0,11.0,11.0,10.0,5.0,181.9,180.2,182.3
23:10:42:54:964 775100,34.0,2219,12000.0,0.0,402,2156.0,0.012,19.1,4294967293.0,8.0,4294967268.0,4294967274.0,0.0,800.8,278.3,39.0,10.0,13.0,11.0,5.0,184.9,184.6,186.5
23:10:42:54:976 775100,34.5,2189,12000.0,0.0,766,4245.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,800.8,278.3,40.0,7.0,14.0,12.0,5.0,182.4,183.5,180.4
23:10:42:54:988 775100,33.4,2160,12000.0,0.0,104,604.0,0.012,19.1,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,747.1,302.7,43.0,9.0,11.0,8.0,5.0,180.0,180.4,172.2
23:10:42:55:000 775000,34.0,2157,12000.0,0.0,155,821.0,0.012,19.3,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,825.2,2275.4,35.0,11.0,11.0,13.0,5.0,179.8,179.1,188.8
23:10:42:55:012 775000,34.0,2196,12000.0,0.0,860,4633.0,0.012,19.3,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,864.3,419.9,34.0,10.0,12.0,12.0,6.0,183.0,181.3,185.6
23:10:42:55:024 775000,34.5,2122,12000.0,0.0,1842,10458.0,0.012,19.6,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,766.6,278.3,46.0,9.0,8.0,10.0,4.0,176.8,181.6,176.1
23:10:42:55:036 775000,34.0,2052,12000.0,0.0,1141,6603.0,0.012,19.7,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,703.1,273.4,51.0,6.0,12.0,6.0,5.0,171.0,168.8,172.8
23:10:42:55:048 775000,34.0,2182,12000.0,0.0,566,3247.0,0.012,19.2,4294967292.0,7.0,4294967268.0,4294967275.0,0.0,752.0,278.3,47.0,12.0,7.0,12.0,3.0,181.8,184.6,174.3
23:10:42:55:060 775000,34.0,2113,12000.0,0.0,1702,9498.0,0.012,19.4,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,761.7,268.6,44.0,7.0,11.0,9.0,5.0,176.1,164.3,179.2
23:10:42:55:072 775000,34.0,2169,12000.0,0.0,681,3692.0,0.012,19.3,4294967293.0,6.0,4294967269.0,4294967274.0,0.0,835.0,415.0,38.0,8.0,13.0,12.0,5.0,180.8,179.1,184.5
23:10:42:55:084 775000,34.0,2206,12000.0,0.0,711,3904.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,795.9,273.4,42.0,7.0,10.0,9.0,4.0,183.8,184.7,182.1
23:10:42:55:096 775000,33.4,2213,12000.0,0.0,1920,10440.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,791.0,278.3,44.0,8.0,12.0,10.0,5.0,184.4,187.8,183.9
23:10:42:55:108 775000,33.4,2185,12000.0,0.0,35,189.0,0.012,19.2,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,791.0,278.3,46.0,7.0,15.0,7.0,6.0,182.1,182.0,185.2
23:10:42:55:120 775000,33.4,2248,12000.0,0.0,210,1083.0,0.012,19.0,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,810.5,268.6,39.0,10.0,16.0,9.0,4.0,187.3,186.7,193.9
23:10:42:55:132 775000,34.5,2203,12000.0,0.0,158,867.0,0.012,19.2,4294967293.0,6.0,4294967269.0,4294967274.0,0.0,727.5,278.3,47.0,7.0,13.0,10.0,3.0,183.6,183.7,182.2
23:10:42:55:144 775000,35.1,2155,12000.0,0.0,354,2145.0,0.012,19.6,4294967293.0,7.0,4294967268.0,4294967275.0,0.0,747.1,273.4,46.0,6.0,12.0,9.0,5.0,179.6,182.7,165.0
23:10:42:55:156 775000,32.7,2172,12000.0,0.0,1039,5634.0,0.012,19.3,4294967293.0,7.0,4294967269.0,4294967275.0,0.0,937.5,273.4,31.0,9.0,18.0,8.0,6.0,181.0,178.0,184.4
23:10:42:55:168 775000,33.4,2229,12000.0,0.0,460,2607.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,771.5,273.4,42.0,10.0,12.0,10.0,3.0,185.8,188.3,176.4
23:10:42:55:180 775000,33.4,2141,12000.0,0.0,494,2624.0,0.012,19.3,4294967293.0,7.0,4294967268.0,4294967275.0,0.0,839.8,302.7,33.0,13.0,13.0,11.0,5.0,178.4,175.7,188.3
23:10:42:55:192 775000,34.0,2174,12000.0,0.0,1212,6677.0,0.012,19.2,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,849.6,419.9,39.0,7.0,13.0,9.0,7.0,181.2,180.7,181.5
23:10:42:55:204 775000,34.0,2225,12000.0,0.0,692,3633.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967275.0,0.0,800.8,278.3,41.0,8.0,12.0,10.0,5.0,185.4,183.2,190.5
23:10:42:55:216 775000,34.0,2181,12000.0,0.0,1393,7705.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967275.0,0.0,795.9,302.7,37.0,12.0,9.0,10.0,5.0,181.8,183.5,180.8
23:10:42:55:228 775000,36.0,2193,12000.0,0.0,307,1675.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967273.0,0.0,839.8,268.6,32.0,9.0,14.0,13.0,6.0,182.8,182.7,183.3
23:10:42:55:240 775000,33.4,2185,12000.0,0.0,281,1654.0,0.012,19.2,4294967292.0,6.0,4294967269.0,4294967275.0,0.0,727.5,278.3,49.0,6.0,10.0,7.0,4.0,182.1,184.0,169.9
23:10:42:55:252 775000,33.4,2213,12000.0,0.0,958,5277.0,0.012,19.1,4294967293.0,7.0,4294967269.0,4294967274.0,0.0,815.4,302.7,40.0,9.0,13.0,9.0,5.0,184.4,186.7,181.5
23:10:42:55:264 775000,34.5,2139,12000.0,0.0,1780,9982.0,0.012,19.3,4294967292.0,7.0,4294967268.0,4294967275.0,0.0,771.5,288.1,48.0,6.0,14.0,8.0,5.0,178.3,177.9,178.3
23:10:42:55:276 775000,34.0,2227,12000.0,0.0,2194,11810.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,795.9,278.3,42.0,9.0,12.0,11.0,5.0,185.6,173.7,185.8
23:10:42:55:288 775000,34.0,2147,12000.0,0.0,64,396.0,0.012,19.3,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,781.3,283.2,41.0,7.0,13.0,9.0,5.0,178.9,179.5,161.6
23:10:42:55:300 775000,33.4,2237,12000.0,0.0,772,4239.0,0.012,19.1,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,820.3,273.4,37.0,10.0,12.0,9.0,5.0,186.4,188.8,182.1
23:10:42:55:312 775000,32.7,2137,12000.0,0.0,35,203.0,0.012,19.3,4294967293.0,8.0,4294967268.0,4294967275.0,0.0,791.0,307.6,39.0,10.0,13.0,10.0,5.0,178.1,178.2,172.4
